¿?Que variables es?,MunicipioNa_un_ba,MunicipioNa_un_chical,MunicipioNa_un_jac,srtm,slope,int_extDrain,effDepth,trmm_0,trmm_1,trmm_2,tempAvg_0,PrecAcc_0,PrecAcc_1,PrecAcc_2,Yield,,,,,,,,,,
0,1,0,0,2015,8,3,63,0.5987176,1.110019933,0.3791384,17.6,9,4.5,2.8,0.036607143,,,,,,,,,,
0,0,0,1,2014,12.5,3,63,1.6769208,1.070760333,0.3665784,17.6,9,4.5,2.8,0.036904762,,,,,,,,,,
0,0,0,1,2014,12.5,3,63,1.875124,0.5987176,1.110019933,17.1,26.9,9,4.5,0.0375,,,,,,,,,,
0,0,0,1,2014,12.5,3,63,5.283981633,1.4095994,1.107890733,17.1,26.9,9,4.5,0.03775,,,,,,,,,,
0,0,1,0,2290,14,2,48,7.931058667,2.0300929,0.4437487,16.6,29.1,26.9,9,0.038035714,,,,,,,,,,
0,1,0,0,2015,8,3,63,8.177961167,5.541617467,1.296425267,16.6,29.1,26.9,9,0.038541667,,,,,,,,,,
0,0,0,1,2014,12.5,3,63,10.89134387,9.5120818,1.875124,16.6,20.7,29.1,26.9,0.038610039,,,,,,,,,,
0,0,0,1,2031,10,3,66,0.898720603,1.462098,2.969801367,17.5,5.8,17.1,20.4,0.038928571,,,,,,,,,,
0,0,0,1,2031,10,3,66,7.05,10.1814147,8.134010967,17.5,14.1,20.3,28.4,0.039206349,,,,,,,,,,
0,0,0,1,2031,10,3,66,6.3102833,3.37,10.1551469,17.6,14.4,14.1,20.3,0.039285714,,,,,,,,,,
0,0,0,1,2031,10,3,66,0.4490539,6.584,7.498,17.6,14.4,14.1,20.3,0.039722222,,,,,,,,,,
0,0,0,1,2278,14,3,35,0.5387561,6.348,4.962,18.1,16.5,14.4,14.1,0.04,,,,,,,,,,
0,0,0,1,2278,14,3,35,1.479498643,4.7960552,3.28,18.1,16.5,14.4,14.1,0.041,,,,,,,,,,
0,0,0,1,2278,14,3,35,3.192791071,0.4490539,6.348,18.1,16.5,14.4,14.1,0.04125,,,,,,,,,,
0,0,0,1,2278,14,3,35,3.80029475,0.4490539,6.348,18,20.2,16.5,14.4,0.041547619,,,,,,,,,,
0,0,0,1,2278,14,3,35,3.466876267,1.397278714,6.0431731,18,20.2,16.5,14.4,0.041666667,,,,,,,,,,
0,0,0,1,2278,14,3,35,2.991369667,3.199059893,0.4490539,17.9,17.6,20.2,16.5,0.041666667,,,,,,,,,,
0,0,0,1,2278,14,3,35,1.4649276,2.962672267,3.192791071,17.9,17.6,20.2,16.5,0.041875,,,,,,,,,,
0,0,0,1,2278,14,3,35,1.7840713,1.683351333,3.992057857,18,6.4,17.6,20.2,0.04225,,,,,,,,,,
0,0,0,1,2278,14,3,35,0.881645003,1.4238562,2.937950467,18,6.4,17.6,20.2,0.043125,,,,,,,,,,
0,0,1,0,2290,14,2,48,7.072296533,10.9428725,5.283981633,15.3,21.9,30.7,26.4,0.04325,,,,,,,,,,
0,1,0,0,2174,8,3,69,4.596,10.73220073,9.768125933,15.5,16.3,21.9,30.7,0.0435625,,,,,,,,,,
0,0,0,1,2278,14,3,35,6.348,7.686,10.0628177,15.5,16.3,21.9,30.7,0.04425,,,,,,,,,,
0,0,0,1,2278,14,3,35,4.9018667,3.28,7.483230533,15.7,15.7,16.3,21.9,0.045178571,,,,,,,,,,
0,0,0,1,2066,23,3,64,0.785564,6.248,3.786,15.8,18.2,15.7,16.3,0.0455,,,,,,,,,,
0,1,0,0,2174,8,3,69,3.248070464,0.4490539,6.348,16.1,20,18.2,15.7,0.04578125,,,,,,,,,,
0,0,0,1,2278,14,3,35,2.831025567,2.795864179,4.3910539,16.1,20,18.2,15.7,0.046025641,,,,,,,,,,
0,0,1,0,2290,14,2,48,1.671649533,3.790113821,1.3600291,16.1,15.9,20,18.2,0.04675,,,,,,,,,,
0,0,0,1,2278,14,3,35,1.4649276,2.962672267,3.192791071,16.1,15.9,20,18.2,0.046875,,,,,,,,,,
0,0,0,1,2278,14,3,35,4.354910321,0.7303236,6.248,17.5,20.2,16,14.4,0.04725,,,,,,,,,,
0,0,0,1,2066,23,3,64,2.935277567,2.795864179,3.4390539,17.5,20.2,16,14.4,0.04796875,,,,,,,,,,
0,0,0,1,2066,23,3,64,1.858177233,4.263727786,0.7303236,17.5,16.6,20.2,16,0.048125,,,,,,,,,,
0,0,0,1,2066,23,3,64,1.4694094,2.858602567,2.748080929,17.5,16.6,20.2,16,0.048262548,,,,,,,,,,
0,0,0,1,2066,23,3,64,1.6538384,1.887321833,4.305052143,17.3,5.7,16.6,20.2,0.0495,,,,,,,,,,
0,0,0,1,2005,15,3,64,1.380571703,1.516454,3.9261792,17.3,5.7,16.6,20.2,0.05,,,,,,,,,,
0,0,0,1,2005,15,3,64,6.248,4.596,10.51672053,16.3,15.3,15.5,21.8,0.05,,,,,,,,,,
0,0,0,1,2005,15,3,64,6.4232637,3.22,7.1268142,16.3,15.3,15.5,21.8,0.050833333,,,,,,,,,,
0,0,0,1,2005,15,3,64,0.6325127,6.348,4.744,16.5,17.4,15.3,15.5,0.051785714,,,,,,,,,,
0,0,0,1,2005,15,3,64,1.626019286,4.7677761,3.468,16.5,17.4,15.3,15.5,0.0525,,,,,,,,,,
0,0,0,1,2005,15,3,64,3.441232467,1.479498643,4.7960552,16.6,20.5,17.4,15.3,0.05390625,,,,,,,,,,
0,0,0,1,2005,15,3,64,2.483429533,3.80029475,0.4490539,16.6,16.5,20.5,17.4,0.05390625,,,,,,,,,,
0,0,0,1,2005,15,3,64,1.808732033,3.466876267,1.397278714,16.6,16.5,20.5,17.4,0.0540625,,,,,,,,,,
0,0,0,1,2005,15,3,64,1.5852096,2.935277567,2.795864179,16.6,16.5,20.5,17.4,0.054166667,,,,,,,,,,
0,0,1,0,2151,22,3,67,4.728027267,4.797360367,12.5445502,17.5,16.7,20.3,16.2,0.0553125,,,,,,,,,,
0,0,0,1,2005,15,3,64,2.9094771,4.582067333,7.9759069,17.4,5.7,16.7,20.3,0.055625,,,,,,,,,,
0,0,1,0,1900,14,3,60,2.561929567,2.521377167,6.5447974,17.4,5.7,16.7,20.3,0.05609375,,,,,,,,,,
0,0,0,1,2005,15,3,64,0.2328434,3.0160811,4.508957133,17.5,2.7,5.7,16.7,0.056785714,,,,,,,,,,
0,0,1,0,1900,14,3,60,1.100410133,2.563968367,4.0644947,17.5,2.7,5.7,16.7,0.057142857,,,,,,,,,,
0,0,0,1,2005,15,3,64,1.145188533,0.3791384,2.7644707,17.5,4.4,2.7,5.7,0.058571429,,,,,,,,,,
0,0,1,0,1900,14,3,60,0.3313962,1.120821533,2.440015267,17.5,4.4,2.7,5.7,0.058690476,,,,,,,,,,
0,0,0,1,2005,15,3,64,0.6823608,1.049166533,0.2869425,17.6,8.9,4.4,2.7,0.06,,,,,,,,,,
0,0,0,1,2005,15,3,64,2.1424454,0.3443815,1.107836233,17.6,8.9,4.4,2.7,0.060178571,,,,,,,,,,
0,0,0,1,2005,15,3,64,4.558841,0.563549,0.912279633,17.1,26.8,8.9,4.4,0.06125,,,,,,,,,,
0,0,0,1,2066,23,3,64,5.847826633,2.1573244,0.3369286,17.1,26.8,8.9,4.4,0.061354167,,,,,,,,,,
0,0,0,1,2066,23,3,64,8.177961167,5.541617467,1.296425267,16.7,29.5,26.8,8.9,0.0615625,,,,,,,,,,
0,0,0,1,2066,23,3,64,10.69884203,6.932583633,2.1424454,16.7,29.5,26.8,8.9,0.06275,,,,,,,,,,
0,0,0,1,1994,13,3,45,10.89134387,9.5120818,1.875124,16.6,21,29.5,26.8,0.063214286,,,,,,,,,,
0,0,1,0,1900,14,3,60,10.16289523,7.4350588,5.804896933,16.6,21,29.5,26.8,0.063928571,,,,,,,,,,
0,0,0,1,2152,22,3,67,7.498,10.76646323,6.864962433,16.6,21,29.5,26.8,0.064375,,,,,,,,,,
0,0,0,1,2148,20,3,66,3.786,10.66023523,7.0196771,17.1,14.4,21,29.5,0.0655,,,,,,,,,,
0,0,0,1,1994,13,3,45,6.146,7.802775733,10.7557842,17.1,14.4,21,29.5,0.066666667,,,,,,,,,,
0,0,0,1,2066,23,3,64,6.248,4.596,10.51672053,17.3,14.7,14.4,21,0.067142857,,,,,,,,,,
0,0,0,1,2066,23,3,64,4.3910539,3.882,7.257728033,17.3,14.7,14.4,21,0.069464286,,,,,,,,,,
0,0,0,1,2005,15,3,64,1.3600291,6.3102833,3.37,17.6,16.2,14.7,14.4,0.06975,,,,,,,,,,
0,0,1,0,1900,14,3,60,3.137405929,0.4490539,6.584,17.6,16.2,14.7,14.4,0.071785714,,,,,,,,,,
0,0,0,1,2031,10,3,66,4.357178536,0.8295462,6.2721453,17.6,20.3,16.2,14.7,0.071785714,,,,,,,,,,
0,0,0,1,2066,23,3,64,2.969801367,2.978852286,0.4490539,17.6,20.3,16.2,14.7,0.071964286,,,,,,,,,,
0,0,1,0,1900,14,3,60,1.852494933,4.354910321,0.7303236,17.5,16.7,20.3,16.2,0.07225,,,,,,,,,,
0,0,0,1,1994,13,3,45,1.5852096,2.935277567,2.795864179,17.5,16.7,20.3,16.2,0.073,,,,,,,,,,
0,0,0,1,1994,13,3,45,3.83762417,4.475594,3.111198133,17.3,14.7,14.4,21,0.075,,,,,,,,,,
0,0,0,1,1994,13,3,45,4.882413767,2.579183937,4.642215467,17.3,14.7,14.4,21,0.07725,,,,,,,,,,
0,0,0,1,1994,13,3,45,6.557157833,4.24638737,3.8772463,17.6,16.2,14.7,14.4,0.077380952,,,,,,,,,,
0,0,0,1,1994,13,3,45,11.47477917,4.882413767,2.826320637,17.6,16.2,14.7,14.4,0.0775,,,,,,,,,,
0,0,0,1,1994,13,3,45,11.88513217,5.4028585,4.46013137,17.6,20.3,16.2,14.7,0.0778125,,,,,,,,,,
0,0,0,1,1994,13,3,45,7.6860936,9.874701367,4.609006567,17.6,20.3,16.2,14.7,0.0785,,,,,,,,,,
0,0,0,1,1994,13,3,45,5.735544667,13.7556599,4.128994,17.5,16.7,20.3,16.2,0.07875,,,,,,,,,,
0,0,0,1,1994,13,3,45,4.728027267,4.797360367,12.5445502,17.5,16.7,20.3,16.2,0.08,,,,,,,,,,
0,0,0,1,1994,13,3,45,3.127379167,5.4288345,11.19993503,17.4,5.7,16.7,20.3,0.08171875,,,,,,,,,,
0,0,1,0,1900,14,3,60,2.563968367,4.782550067,5.184880267,17.4,5.7,16.7,20.3,0.08225,,,,,,,,,,
0,0,0,1,1994,13,3,45,0.980063633,3.150348567,5.372844567,17.5,2.7,5.7,16.7,0.082857143,,,,,,,,,,
0,0,0,1,1994,13,3,45,0.2722436,2.675436267,4.642549067,17.5,2.7,5.7,16.7,0.0834375,,,,,,,,,,
0,0,0,1,1994,13,3,45,1.110019933,2.208717567,2.050821733,17.5,4.4,2.7,5.7,0.08421875,,,,,,,,,,
0,0,0,1,1994,13,3,45,0.7507638,0.686574933,2.563968367,17.5,4.4,2.7,5.7,0.08515625,,,,,,,,,,
0,0,0,1,1994,13,3,45,0.5987176,1.110019933,0.3791384,17.6,8.9,4.4,2.7,0.08875,,,,,,,,,,
0,0,0,1,2066,23,3,64,2.1424454,0.3443815,1.107836233,17.6,8.9,4.4,2.7,0.08925,,,,,,,,,,
0,0,0,1,2152,22,3,67,1.875124,0.5987176,1.110019933,17.1,26.8,8.9,4.4,0.089285714,,,,,,,,,,
0,0,0,1,2148,20,3,66,5.283981633,1.4095994,1.107890733,17.1,26.8,8.9,4.4,0.090625,,,,,,,,,,
0,0,0,1,1994,13,3,45,9.768125933,2.244223,0.563549,16.7,29.5,26.8,8.9,0.091,,,,,,,,,,
