Id,AB_Thorn,AB_W_Thorn,Nar,Cal,cal_riosu_zr, Na_un_cusal,Na_un_cusba,srtm,slope,intDrain,extDrain,effDepth,trmm_0,trmm_1,trmm_2,trmm_3,tempAvg_0,tempRang_0,PrecAcc_0,tempAvg_1,tempRang_1,PrecAcc_1,tempAvg_2,tempRang_2,PrecAcc_2,tempAvg_3,tempRang_3,PrecAcc_3,Yield
226,1,0,0,1,0,0,0,2040,8,3,2,63,6.348,4.744,10.76607887,9.8553468,17.2,9.2,148,17.1,9.2,145,166,86,211,165,85,296,0.05506
227,1,0,0,1,0,0,0,2040,8,3,2,63,1.858177233,3.979479267,0.7303236,6.248,17.4,9.3,162,17.6,9.2,202,174,93,161,172,92,148,0.05655
228,1,1,0,0,0,0,1,2378,37,2,3,70,1.385043767,0.8442071,3.424325433,1.711834997,15,7.9,233,14.8,8.1,164,145,80,131,144,76,187,0.05667
229,1,1,0,0,0,0,1,1297,12,1,2,75,3.809017033,4.008915333,2.809415733,2.547786267,22.7,10.3,176,23.1,9.6,263,230,103,247,234,113,182,0.05667
230,1,1,0,0,0,0,1,2378,37,2,3,70,1.4509891,4.008026667,4.7970986,2.961126137,14.9,8.4,197,14.8,7.6,224,149,72,333,142,75,314,0.05778
231,1,1,0,0,0,0,1,2378,37,2,3,70,3.7957019,2.708897967,1.2617441,1.090431367,14.3,7.3,359,14.6,8,248,147,81,204,149,84,197,0.05778
232,1,1,0,0,0,0,1,2378,37,2,3,70,3.341887267,5.762997433,3.188047567,1.4425326,14.4,7.6,187,14.3,7.4,294,143,73,359,146,80,248,0.05778
233,1,1,0,0,0,0,1,2326,16,2,3,80,2.813581467,1.3125403,1.636085967,2.9168064,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.05862
234,1,1,0,0,0,0,1,2378,37,2,3,70,3.903979867,2.917317467,1.2237038,1.247233167,14.3,7.3,359,14.6,8,248,147,81,204,149,84,197,0.05889
235,1,1,0,0,0,0,1,2378,37,2,3,70,4.4940516,1.006065133,2.638219167,2.034713133,14.2,7.5,314,15,7.9,233,148,81,164,145,80,131,0.05889
236,1,1,0,0,0,0,1,2326,16,2,3,80,4.457345197,1.402927133,1.4770781,2.8522697,15.3,7.4,280,15.9,7.9,219,158,82,151,154,81,129,0.0592
237,1,0,0,1,0,0,0,1960,14,3,2,64,6.248,4.596,10.51672053,9.1327058,17.2,9.2,148,17.1,9.2,145,166,86,211,165,85,296,0.05952
238,1,1,0,0,0,0,1,2378,37,2,3,70,1.4239568,1.525121867,2.274113467,3.697183533,14.6,8,248,14.7,8.1,204,149,84,197,148,76,224,0.06
239,1,1,0,0,0,0,1,2378,37,2,3,70,3.587651997,4.5636563,0.681857633,2.638219167,14.9,7.2,333,14.2,7.5,314,150,79,233,148,81,164,0.06
240,1,1,0,0,0,0,1,2326,16,2,3,80,3.822440167,4.8146157,3.426696733,3.656759637,15.7,7.6,208,15.8,7.2,319,153,74,280,159,79,219,0.06034
241,1,1,0,0,0,0,1,2326,16,2,3,80,3.766939667,5.1590607,3.039027833,3.319416237,15.7,7.6,208,15.8,7.2,319,153,74,280,159,79,219,0.06034
